image_filename,caption
20240903-bnpparibas-csr-presentation-2024_page27_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page16_img7.jpeg,a graph shows the percentage of the number of people who are using the internet
20240903-bnpparibas-csr-presentation-2024_page27_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img33.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page19_img4.png,rest the world deved ratio
climate-change-and-the-banking-industry_page10_img1.png,thomson ' s logo
20240903-bnpparibas-csr-presentation-2024_page11_img20.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page24_img2.png,bnparaisal com logo
bnp_paribas_2023_climate_report_page18_img4.png,"a square with the words, ' beum below '"
20240903-bnpparibas-csr-presentation-2024_page10_img43.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page22_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img21.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page1_img1.jpeg,the logo for the greenpeak
20240903-bnpparibas-csr-presentation-2024_page13_img7.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page4_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page9_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img10.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page7_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page18_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img31.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img37.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img26.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page12_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page3_img7.png,a green background with a white border
What-contribution-do-banks-make-to-the-ecological-transition_page35_img1.jpeg,a man in a suit and tie standing in front of a bush
20240903-bnpparibas-csr-presentation-2024_page26_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img17.png,the logo for the green and blue logo
as_101_climate_risk_banks_en_page25_img1.jpeg,a map showing the number of people in france
as_101_climate_risk_banks_en_page24_img1.png,a graph showing the number of different types of the global economy
20240903-bnpparibas-csr-presentation-2024_page10_img23.png,a black background with a white border
as_101_climate_risk_banks_en_page30_img1.png,a graph with the number of different types of the fossil
20240903-bnpparibas-csr-presentation-2024_page23_img5.png,a green background with a white border
eib-group-2022-climate-bank-roadmap-progress-report_page17_img1.png,a graph showing the number of different types of the different types of the different types of the different types
bnp_paribas_2023_climate_report_page5_img1.jpeg,a painting of a bike on a city street
20240903-bnpparibas-csr-presentation-2024_page10_img11.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img8.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img14.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img41.png,a green background with a white border
as_101_climate_risk_banks_en_page15_img1.jpeg,a graph shows the number of people who are using the internet
as_101_climate_risk_banks_en_page33_img1.png,a diagram showing the different types of the different processes
20240903-bnpparibas-csr-presentation-2024_page24_img5.png,the flag of uruguay
20240903-bnpparibas-csr-presentation-2024_page11_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page26_img11.png,a green pixel on a black background
20240903-bnpparibas-csr-presentation-2024_page3_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page6_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page26_img14.png,sustainability academy logo
20240903-bnpparibas-csr-presentation-2024_page4_img7.jpeg,the ifr awards logo
